2024/01/02 18:38:21.187 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:24.195 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:27.195 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:30.194 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:33.185 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:36.188 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:39.196 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:42.186 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:45.193 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:48.197 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
